smiles,accession_a,accession_b,pic50_a,pic50_b,relation_a,relation_b,assay_measure,pair_type
C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCc1cn(CCCC(=O)NO)nn1,P04626,Q13547,8.2441,7.1249,=,=,IC50,across
O=C1c2ccccc2C(=O)N1CCCCN1CC=C(c2c[nH]c3ccc(F)cc23)CC1,P31645,P41595,9.1,8.8,=,=,Ki,across
O=c1[nH]c2ccccc2n1CCCN1CCC(n2c(=O)[nH]c3cc(Cl)ccc32)CC1,P31645,P18825,5.515,5.9952,=,=,IC50,across
O=C(c1cc([C@H]2CCCN2c2cc(F)cc(F)c2)c2oc(N3CCOCC3)cc(=O)c2c1)N1CCOCC1,P42345,P42338,4.3768,8.5537,=,=,IC50,across
CC(=O)O[C@H]1CC[C@]2(C)[C@H]3C(=O)C=C4[C@@H]5C[C@@](C)(C(=O)O)CC[C@]5(C)CC[C@@]4(C)[C@]3(C)CC[C@H]2C1(C)C,O00748,P37059,4.3924,5.4225,=,=,IC50,across
CN1C/C=C/CCOc2cccc(c2)-c2ccnc(n2)Nc2cccc(c2)C1,Q8IVH8,P22830,6.0706,6.6144,=,=,Kd,across
COCC(=O)O[C@]1(CCN(C)CCCc2nc3ccccc3[nH]2)CCc2cc(F)ccc2[C@@H]1C(C)C,P11712,Q12809,4.5467,5.8539,=,=,IC50,across
O=c1c2cc(Cl)ccc2oc2ccc(OCCCCCN3CCCCCC3)cc12,P27338,P06276,6.0472,5.7972,=,=,IC50,across
Cc1ccc(-c2ccc3ncc4c(c3n2)n([C@H]2CC[C@H](OCCO)CC2)c(=O)n4C)cn1,P42336,P42345,8.7747,7.9431,=,=,Ki,across
CNC[C@]1(O)Cc2ccccc2[C@@H]1Oc1ccccc1Cl,P31645,P10635,6.1549,5.699,=,=,IC50,across
Cl.Nc1ncccc1-c1nc2ccc(-c3cccnc3)nc2n1-c1ccc(C2(N)CCC2)cc1,P31749,P08684,7.2518,4.7447,=,=,IC50,across
Fc1cccc(Cl)c1Oc1ncccc1C1CCNCC1,P08908,P31645,7.9586,6.7122,=,=,Ki,across
Cc1cnc(-c2nc3c(F)c(-c4cccc(Cl)c4C)c(CCC#N)cc3c3c2cc([C@@H](C)N2CCOCC2=O)n3[C@H]2[C@H]3CN[C@@H]2C3)cn1,Q12809,P01116,4.9508,7.5224,=,=,IC50,across
COc1cccc(C(=O)COc2ccc(CC3SC(=O)NC3=O)cc2)c1,P11712,O95563,4.6383,5.9208,=,=,IC50,across
Nc1nc2[nH]cnc2c(=S)[nH]1,O75604,P23219,4.3768,6.2211,=,=,IC50,across
COc1ccc2c(c1)[C@]1(C[C@H]1c1ccc3c(/C=C/c4ccc(CN(C)C)cc4)n[nH]c3c1)C(=O)N2,Q96GD4,P08684,7.8239,5.1249,=,=,IC50,across
CC(=O)Nc1cc(Nc2ccccc2)cc(-c2ccnc(NC(=O)C3CCOCC3)c2)c1,Q15118,P42356,5.7212,4.7696,=,=,IC50,across
CCC(=O)N(Cc1ccc(C(F)(F)F)cc1)c1cc(F)cc(-c2nnn[nH]2)c1,Q9Y5Y4,P11712,7.4318,6.5528,=,=,IC50,across
COc1cc(/C=C/C(=O)c2ccc(OCCCCCC(=O)NO)cc2)cc(OC)c1OC,Q13547,P00533,7.2218,7.2007,=,=,IC50,across
OC1(c2ccc(Cl)c(C(F)(F)F)c2)CCN(CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1,P21728,P23975,6.8327,6.2306,=,=,Ki,across
CS(=O)(=O)N1CCN(Cc2cn3nc(-c4cnc(N)nc4)nc(N4CCOCC4)c3n2)CC1,P42345,P48736,5.7352,7.3915,=,=,Ki,across
CCCCCCCc1cn(Cc2cc(OC)c(O)cc2I)nn1,Q8NER1,P21554,9.1612,6.3565,=,=,Ki,across
CCn1cc(-c2ccnc3[nH]c(-c4cccc(CN(C)C)c4)cc23)c(-c2ccc(NC(=O)N(C)C)cc2)n1,P35916,P10635,7.1308,4.9208,=,=,IC50,across
O=C(CCCCCCNC(=O)c1ccc(CNC2(c3ccccc3)CC2)cc1)NO,P21397,Q92769,4.6755,7.6383,=,=,IC50,across
Cc1[nH]nc2c1c(=O)n(C[C@H](F)CN)c1cc(C3CCCCC3)c(C3CCCCC3)cc21,Q12809,O14757,4.8794,8.5086,=,=,IC50,across
Cc1nc2cc(/C=C/C(=O)NO)ccc2c(=O)n1CCc1ccccc1,P11712,Q96DB2,5.041,5.3893,=,=,IC50,across
Cc1cc(C(C)(C)C)c(O)c(C)c1CC1=NCCN1,P25100,P10635,5.5461,6.699,=,=,IC50,across
CN(C)CCCc1c[nH]c2ccc(F)cc12,P05164,P31645,7.0979,8.3979,=,=,IC50,across
Nc1ccccc1NC(=O)c1ccc(C(=O)NCCNc2nonc2/C(=N/O)Nc2ccc(F)c(Br)c2)cc1,O15379,P14902,7.3468,7.1612,=,=,IC50,across
CC(C)c1ccc(OC[C@@H]2CCc3cc([C@H]4CC[C@](N)(COP(=O)(O)O)C4)ccc3C2)cc1,O95470,P21453,5.2596,6.2596,=,=,IC50,across
CN[C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c2ccccc21,P20813,P41595,4.9031,5.4694,=,=,IC50,across
Cc1cc(-c2cnc3ccn(Cc4ncco4)c3c2)ccc1F,Q13224,P05177,5.3,5.8239,=,=,IC50,across
