smiles,accession,pic50,relation,assay_measure
C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCc1cn(CCCC(=O)NO)nn1,P04626,8.2441,=,IC50
C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCc1cn(CCCC(=O)NO)nn1,Q13547,7.1249,=,IC50
O=C1c2ccccc2C(=O)N1CCCCN1CC=C(c2c[nH]c3ccc(F)cc23)CC1,P31645,9.1,=,Ki
O=C1c2ccccc2C(=O)N1CCCCN1CC=C(c2c[nH]c3ccc(F)cc23)CC1,P41595,8.8,=,Ki
O=c1[nH]c2ccccc2n1CCCN1CCC(n2c(=O)[nH]c3cc(Cl)ccc32)CC1,P31645,5.515,=,IC50
O=c1[nH]c2ccccc2n1CCCN1CCC(n2c(=O)[nH]c3cc(Cl)ccc32)CC1,P18825,5.9952,=,IC50
O=C(c1cc([C@H]2CCCN2c2cc(F)cc(F)c2)c2oc(N3CCOCC3)cc(=O)c2c1)N1CCOCC1,P42345,4.3768,=,IC50
O=C(c1cc([C@H]2CCCN2c2cc(F)cc(F)c2)c2oc(N3CCOCC3)cc(=O)c2c1)N1CCOCC1,P42338,8.5537,=,IC50
CC(=O)O[C@H]1CC[C@]2(C)[C@H]3C(=O)C=C4[C@@H]5C[C@@](C)(C(=O)O)CC[C@]5(C)CC[C@@]4(C)[C@]3(C)CC[C@H]2C1(C)C,O00748,4.3924,=,IC50
CC(=O)O[C@H]1CC[C@]2(C)[C@H]3C(=O)C=C4[C@@H]5C[C@@](C)(C(=O)O)CC[C@]5(C)CC[C@@]4(C)[C@]3(C)CC[C@H]2C1(C)C,P37059,5.4225,=,IC50
CN1C/C=C/CCOc2cccc(c2)-c2ccnc(n2)Nc2cccc(c2)C1,Q8IVH8,6.0706,=,Kd
CN1C/C=C/CCOc2cccc(c2)-c2ccnc(n2)Nc2cccc(c2)C1,P22830,6.6144,=,Kd
COCC(=O)O[C@]1(CCN(C)CCCc2nc3ccccc3[nH]2)CCc2cc(F)ccc2[C@@H]1C(C)C,P11712,4.5467,=,IC50
COCC(=O)O[C@]1(CCN(C)CCCc2nc3ccccc3[nH]2)CCc2cc(F)ccc2[C@@H]1C(C)C,Q12809,5.8539,=,IC50
O=c1c2cc(Cl)ccc2oc2ccc(OCCCCCN3CCCCCC3)cc12,P27338,6.0472,=,IC50
O=c1c2cc(Cl)ccc2oc2ccc(OCCCCCN3CCCCCC3)cc12,P06276,5.7972,=,IC50
Cc1ccc(-c2ccc3ncc4c(c3n2)n([C@H]2CC[C@H](OCCO)CC2)c(=O)n4C)cn1,P42336,8.7747,=,Ki
Cc1ccc(-c2ccc3ncc4c(c3n2)n([C@H]2CC[C@H](OCCO)CC2)c(=O)n4C)cn1,P42345,7.9431,=,Ki
